local-authority-discovery	local-authority	uk
GLS-UB	local-authority-eng:CHE	ENG
GLS-UC	local-authority-eng:CWD	ENG
CHW	local-authority-eng:CWE	ENG
HRT-UC	local-authority-eng:DAB	ENG
NTH-UC	local-authority-eng:DAD	ENG
DAL	local-authority-eng:DAL	ENG
DBY	local-authority-eng:DBY	ENG
DBY-UF	local-authority-eng:DED	ENG
DER	local-authority-eng:DER	ENG
DEV	local-authority-eng:DEV	ENG
KEN-UD	local-authority-eng:DFD	ENG
DNC	local-authority-eng:DNC	ENG
DOR	local-authority-eng:DOR	ENG
DUD	local-authority-eng:DUD	ENG
DUR	local-authority-eng:DUR	ENG
KEN-UE	local-authority-eng:DVR	ENG
CAM-UC	local-authority-eng:EAC	ENG
EAL	local-authority-eng:EAL	ENG
NTH-UD	local-authority-eng:EAN	ENG
STS-UC	local-authority-eng:EAS	ENG
ESX-UC	local-authority-eng:EBO	ENG
CMA-UF	local-authority-eng:EDD	ENG
DEV-UB	local-authority-eng:EDE	ENG
DOR-UD	local-authority-eng:EDO	ENG
HAM-UC	local-authority-eng:EHA	ENG
HRT-UD	local-authority-eng:EHE	ENG
SRY-UB	local-authority-eng:ELB	ENG
HAM-UD	local-authority-eng:ELG	ENG
LIN-UC	local-authority-eng:ELI	ENG
ENF	local-authority-eng:ENF	ENG
SRY-UC	local-authority-eng:EPA	ENG
ESS-UH	local-authority-eng:EPF	ENG
DBY-UG	local-authority-eng:ERB	ENG
ERY	local-authority-eng:ERY	ENG
ESS	local-authority-eng:ESS	ENG
ESX	local-authority-eng:ESX	ENG
DEV-UC	local-authority-eng:EXC	ENG
HAM-UE	local-authority-eng:FAB	ENG
CAM-UD	local-authority-eng:FLD	ENG
SFK-UC	local-authority-eng:FOH	ENG
GLS-UD	local-authority-eng:FOO	ENG
LAN-UF	local-authority-eng:FYB	ENG
GAT	local-authority-eng:GAT	ENG
NTT-UE	local-authority-eng:GEB	ENG
GLA	local-authority-eng:GLA	ENG
GLS-UE	local-authority-eng:GLC	ENG
GLS	local-authority-eng:GLS	ENG
HAM-UF	local-authority-eng:GOB	ENG
KEN-UG	local-authority-eng:GRB	ENG
GRE	local-authority-eng:GRE	ENG
NFK-UD	local-authority-eng:GRY	ENG
SRY-UD	local-authority-eng:GUB	ENG
ESS-UJ	local-authority-eng:HAC	ENG
HAL	local-authority-eng:HAL	ENG
HAM	local-authority-eng:HAM	ENG
HAV	local-authority-eng:HAV	ENG
LEC-UD	local-authority-eng:HBG	ENG
NYK-UC	local-authority-eng:HBT	ENG
HCK	local-authority-eng:HCK	ENG
HRT-UE	local-authority-eng:HEB	ENG
HEF	local-authority-eng:HEF	ENG
NYK-UD	local-authority-eng:HGT	ENG
LEC-UE	local-authority-eng:HIA	ENG
HIL	local-authority-eng:HIL	ENG
DBY-UH	local-authority-eng:HIP	ENG
HMF	local-authority-eng:HMF	ENG
HNS	local-authority-eng:HNS	ENG
WSX-UF	local-authority-eng:HOD	ENG
HPL	local-authority-eng:HPL	ENG
