street-administrative-area	local-authority	local-authority-name
RUTLAND	local-authority-eng:RUT	Rutland
SALFORD	local-authority-eng:SLF	Salford
SANDWELL	local-authority-eng:SAW	Sandwell
SCOTTISH BORDERS	local-authority-sct:SCB	The Scottish Borders
SEFTON COUNCIL	local-authority-eng:SFT	Sefton
SHEFFIELD	local-authority-eng:SHF	Sheffield
SHETLAND	local-authority-sct:ZET	Shetland Islands
YELL	local-authority-sct:ZET	Shetland Islands
SHROPSHIRE	local-authority-eng:SHR	Shropshire
SIR DDINBYCH	local-authority-wls:DEN	Denbighshire
DENBIGHSHIRE	local-authority-wls:DEN	Denbighshire
SIR FYNWY	local-authority-wls:MON	Monmouthshire
MONMOUTHSHIRE	local-authority-wls:MON	Monmouthshire
SIR GAR	local-authority-wls:CMN	Carmarthenshire
CARMARTHENSHIRE	local-authority-wls:CMN	Carmarthenshire
SLOUGH	local-authority-eng:SLG	Slough
SOLIHULL	local-authority-eng:SOL	Solihull
SOMERSET	local-authority-eng:SOM	Somerset
SOUTH AYRSHIRE	local-authority-sct:SAY	South Ayrshire
SOUTH GLOUCESTERSHIRE	local-authority-eng:SGC	South Gloucestershire
SOUTH LANARKSHIRE	local-authority-sct:SLK	South Lanarkshire
SOUTH TYNESIDE	local-authority-eng:STY	South Tyneside
SOUTHAMPTON	local-authority-eng:STH	Southampton
SOUTHEND-ON-SEA	local-authority-eng:SOS	Southend-on-Sea
SOUTHWARK	local-authority-eng:SWK	Southwark
ST HELENS COUNCIL	local-authority-eng:SHN	St. Helens
STAFFORDSHIRE	local-authority-eng:STS	Staffordshire
STIRLING	local-authority-sct:STG	Stirling
STOCKPORT	local-authority-eng:SKP	Stockport
STOCKTON-ON-TEES	local-authority-eng:STT	Stockton-on-Tees
SUFFOLK	local-authority-eng:SFK	Suffolk
SUNDERLAND	local-authority-eng:SND	Sunderland
SURREY	local-authority-eng:SRY	Surrey
SUTTON	local-authority-eng:STN	Sutton
SWANSEA	local-authority-wls:SWA	Swansea
SWINDON	local-authority-eng:SWD	Swindon
TAMESIDE	local-authority-eng:TAM	Tameside
TELFORD AND WREKIN	local-authority-eng:TFW	Telford and Wrekin
THURROCK	local-authority-eng:THR	Thurrock
TORBAY	local-authority-eng:TOB	Torbay
TORFAEN	local-authority-wls:TOF	Torfaen
TOWER HAMLETS	local-authority-eng:TWH	Tower Hamlets
TRAFFORD	local-authority-eng:TRF	Trafford
VALE OF GLAMORGAN	local-authority-wls:VGL	The Vale of Glamorgan
WAKEFIELD	local-authority-eng:WKF	Wakefield
WALSALL	local-authority-eng:WLL	Walsall
WALTHAM FOREST	local-authority-eng:WFT	Waltham Forest
WANDSWORTH	local-authority-eng:WND	Wandsworth
WARRINGTON	local-authority-eng:WRT	Warrington
WARWICKSHIRE	local-authority-eng:WAR	Warwickshire
WEST BERKSHIRE	local-authority-eng:WBK	West Berkshire
WEST DUNBARTONSHIRE	local-authority-sct:WDU	West Dunbartonshire
WEST LOTHIAN	local-authority-sct:WLN	West Lothian
WEST SUSSEX	local-authority-eng:WSX	West Sussex
WEST YORKSHIRE		
WIGAN	local-authority-eng:WGN	Wigan
WILTSHIRE	local-authority-eng:WIL	Wiltshire
WINDSOR AND MAIDENHEAD	local-authority-eng:WNM	Windsor and Maidenhead
WIRRAL	local-authority-eng:WRL	Wirral
WOKINGHAM	local-authority-eng:WOK	Wokingham
WOLVERHAMPTON	local-authority-eng:WLV	Wolverhampton
WORCESTERSHIRE	local-authority-eng:WOR	Worcestershire
WRECSAM	local-authority-wls:WRX	Wrexham
WREXHAM	local-authority-wls:WRX	Wrexham
YNYS MON	local-authority-wls:AGY	Isle of Anglesey
ISLE OF ANGLESEY	local-authority-wls:AGY	Isle of Anglesey
YORK	local-authority-eng:YOR	York
