gaz50k	county	name
IA⋯  I of Angl⋯  Isle of Anglesey
IM⋯  I of M⋯  Isle of Man
NT⋯  Notts⋯  Nottinghamshire
ES⋯  E Susx⋯  East Sussex
BR⋯  Brom⋯  Bromley
CN⋯  Corn⋯  Cornwall
CF⋯  Caer⋯  Caerphilly
EL⋯  E Loth⋯  East Lothian
WO⋯  Worcs⋯  Worcestershire
NI⋯  N Lincs⋯  North Lincolnshire
SO⋯  C of Soton⋯  City of Southampton
LP⋯  Liv⋯  Liverpool
FL⋯  Flint⋯  Flintshire
BD⋯  Bark & Dag⋯  Barking & Dagenham
WN⋯  Wigan⋯  Wigan
NE⋯  Newp⋯  Newport
ST⋯  Somer⋯  Somerset
TU⋯  Thurr⋯  Thurrock
NA⋯  N Ayr⋯  North Ayrshire
WG⋯  Warr⋯  Warrington
MM⋯  Monm⋯  Monmouthshire
HF⋯  Ham & Ful⋯  Hammersmith &Fulham
KH⋯  C of K upon H⋯  City of Kingston upon Hull
MR⋯  Merton⋯  Merton
HR⋯  Harrow⋯  Harrow
YT⋯  Slough⋯  Slough
SA⋯  Sand⋯  Sandwell
SC⋯  Salf⋯  Salford
KG⋯  King⋯  Kingston upon Thames
SJ⋯  C of Stoke⋯  City of Stoke-on-Trent
RC⋯  Red & Cl⋯  Redcar & Cleveland
CA⋯  Cald⋯  Calderdale
ON⋯  Oxon⋯  Oxfordshire
BI⋯  Birm⋯  Birmingham
TF⋯  Torf⋯  Torfaen
NL⋯  N Lanak⋯  North Lanarkshire
BX⋯  Bexley⋯  Bexley
DY⋯  Derby⋯  Derbyshire
NK⋯  Norf⋯  Norfolk
SP⋯  Sheff⋯  Sheffield
CW⋯  Conwy⋯  Conwy
BU⋯  Bourne⋯  Bournemouth
GR⋯  Glos⋯  Gloucestershire
TH⋯  T Ham⋯  Tower Hamlets
LO⋯  C of Lon⋯  City of London
PO⋯  C of Port⋯  City of Portsmouth
SH⋯  Shrops⋯  Shropshire
DB⋯  C of Derb⋯  City of Derby
IN⋯  Inverc⋯  Inverclyde
SF⋯  Staffs⋯  Staffordshire
LC⋯  C of Leic⋯  City of Leicester
GW⋯  Gren⋯  Greenwich
BA⋯  Brad⋯  Bradford
CY⋯  Croy⋯  Croydon
DZ⋯  Dudley⋯  Dudley
WL⋯  W Loth⋯  West Lothian
