Local_Authority_Name	OpenDataCommunitiesURI	ONS_Code	DCLGbillingAuthorityCode	LA_Type_Label	Authority_Type
Richmondshire	http://opendatacommunities.org/id/district-council/richmondshire	E07000166	E2734	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Rochdale	http://opendatacommunities.org/id/metropolitan-district-council/rochdale	E08000005	E4205	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Rochford	http://opendatacommunities.org/id/district-council/rochford	E07000075	E1540	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Rossendale	http://opendatacommunities.org/id/district-council/rossendale	E07000125	E2341	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Rother	http://opendatacommunities.org/id/district-council/rother	E07000064	E1436	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Rotherham	http://opendatacommunities.org/id/metropolitan-district-council/rotherham	E08000018	E4403	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Rugby	http://opendatacommunities.org/id/district-council/rugby	E07000220	E3733	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Runnymede	http://opendatacommunities.org/id/district-council/runnymede	E07000212	E3636	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Rushcliffe	http://opendatacommunities.org/id/district-council/rushcliffe	E07000176	E3038	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Rushmoor	http://opendatacommunities.org/id/district-council/rushmoor	E07000092	E1740	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Rutland	http://opendatacommunities.org/id/unitary-authority/rutland	E06000017	E2402	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Ryedale	http://opendatacommunities.org/id/district-council/ryedale	E07000167	E2755	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Salford	http://opendatacommunities.org/id/metropolitan-district-council/salford	E08000006	E4206	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Sandwell	http://opendatacommunities.org/id/metropolitan-district-council/sandwell	E08000028	E4604	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Scarborough	http://opendatacommunities.org/id/district-council/scarborough	E07000168	E2736	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Sedgemoor	http://opendatacommunities.org/id/district-council/sedgemoor	E07000188	E3332	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
