local-authority	name	name-cy	local-authority-category	uk
CGN	Ceredigion	Sir Ceredigion	unitary authority	WLS
CWY	Conwy		unitary authority	WLS
DEN	Denbighshire	Sir Ddinbych	unitary authority	WLS
FLN	Flintshire	Sir y Fflint	unitary authority	WLS
GWN	Gwynedd		unitary authority	WLS
AGY	Isle of Anglesey	Sir Ynys Môn	unitary authority	WLS
MTY	Merthyr Tydfil	Merthyr Tudful	unitary authority	WLS
MON	Monmouthshire	Sir Fynwy	unitary authority	WLS
NTL	Neath Port Talbot	Castell-nedd Port Talbot	unitary authority	WLS
NWP	Newport	Casnewydd	unitary authority	WLS
PEM	Pembrokeshire	Sir Benfro	unitary authority	WLS
POW	Powys		unitary authority	WLS
RCT	Rhondda Cynon Taff		unitary authority	WLS
SWA	Swansea	Abertawe	unitary authority	WLS
TOF	Torfaen	Tor-faen	unitary authority	WLS
VGL	The Vale of Glamorgan	Bro Morgannwg	unitary authority	WLS
WRX	Wrexham	Wrecsam	unitary authority	WLS
