local-authority	uk	local-authority-type	parent-local-authority	name	name-cy	official-name	website	start-date	end-date	snac
WRT	ENG	UTA		Warrington		Warrington Borough Council	http://www.warrington.gov.uk			00EU
GLA	ENG	CTY		Greater London		Greater London Authority	http://www.london.gov.uk			00
BAS	ENG	UTA		Bath and North East Somerset		Bath and North East Somerset Council	http://www.bathnes.gov.uk			00HA
BKM-UB	ENG		BKM			Aylesbury Vale District Council	http://www.aylesburyvaledc.gov.uk			11UB
BKM-UF	ENG		BKM			Wycombe District Council	http://www.wycombe.gov.uk			11UF
BKM-UC	ENG		BKM			Chiltern District Council	http://www.chiltern.gov.uk			11UC
BKM-UE	ENG		BKM			South Bucks District Council	http://www.southbucks.gov.uk			11UE
BKM	ENG	CTY	BKM	Buckinghamshire		Buckinghamshire County Council	http://www.buckscc.gov.uk			11
CAM-UD	ENG		CAM			Fenland District Council	http://www.fenland.gov.uk			12UD
CAM-UE	ENG		CAM			Huntingdonshire District Council	http://www.huntingdonshire.gov.uk			12UE
CAM-UG	ENG		CAM			South Cambridgeshire District Council	http://www.scambs.gov.uk			12UG
CAM-UB	ENG		CAM			Cambridge City Council	https://www.cambridge.gov.uk			12UB
CAM	ENG	CTY	CAM	Cambridgeshire		Cambridgeshire County Council	http://www.cambridgeshire.gov.uk			12
CAM-UC	ENG		CAM			East Cambridgeshire District Council	http://www.eastcambs.gov.uk			12UC
CMA-UC	ENG		CMA			Borough of Barrow-in-Furness	http://www.barrowbc.gov.uk			16UC
CMA-UF	ENG		CMA			Eden District Council	http://www.eden.gov.uk			16UF
CMA-UE	ENG		CMA			Copeland Borough Council	http://www.copeland.gov.uk			16UE
CMA-UD	ENG		CMA			Carlisle City Council	http://www.carlisle.gov.uk			16UD
CMA-UG	ENG		CMA			South Lakeland District Council	http://www.southlakeland.gov.uk			16UG
CMA	ENG	CTY	CMA	Cumbria		Cumbria County Council	http://www.cumbria.gov.uk			16
CMA-UB	ENG		CMA			Allerdale Borough Council	http://www.allerdale.gov.uk			16UB
DBY-UC	ENG		DBY			Bolsover District Council	http://www.bolsover.gov.uk			17UC
DBY-UB	ENG		DBY			Amber Valley Borough Council	http://www.ambervalley.gov.uk			17UB
DBY	ENG	CTY	DBY	Derbyshire		Derbyshire County Council	http://www.derbyshire.gov.uk			17
DBY-UG	ENG		DBY			Erewash Borough Council	http://www.erewash.gov.uk			17UG
DBY-UK	ENG		DBY			South Derbyshire District Council	http://www.south-derbys.gov.uk			17UK
DBY-UJ	ENG		DBY			North East Derbyshire District Council	http://www.ne-derbyshire.gov.uk			17UJ
DER	ENG	UTA	DBY	Derby		Derbyshire Dales District Council	http://www.derbyshiredales.gov.uk			17UF
DBY-UD	ENG		DBY			Chesterfield Borough Council	http://www.chesterfield.gov.uk/site/default.asp			17UD
DBY-UH	ENG		DBY			High Peak Borough Council	http://www.highpeak.gov.uk			17UH
DEV-UD	ENG		DEV			Mid Devon District Council	http://www.middevon.gov.uk			18UD
DEV-UB	ENG		DEV			East Devon District Council	http://eastdevon.gov.uk			18UB
DEV-UC	ENG		DEV			Exeter City Council	http://exeter.gov.uk			18UC
DEV-UG	ENG		DEV			South Hams District Council	http://www.southhams.gov.uk			18UG
DEV	ENG	CTY	DEV	Devon		Devon County Council	http://www.devon.gov.uk			18
DEV-UE	ENG		DEV			North Devon Council	http://www.northdevon.gov.uk			18UE
DEV-UH	ENG		DEV			Teignbridge District Council	http://www.teignbridge.gov.uk			18UH
DEV-UL	ENG		DEV			West Devon Borough Council	http://www.westdevon.gov.uk			18UL
DEV-UK	ENG		DEV			Torridge District Council	http://www.torridge.gov.uk			18UK
DOR-UH	ENG		DOR			West Dorset District Council	http://www.dorsetforyou.com			19UH
DOR-UG	ENG		DOR			Purbeck District Council	http://www.dorsetforyou.com			19UG
DOR	ENG	CTY	DOR	Dorset		Dorset County Council	http://www.dorsetforyou.com			19
DOR-UD	ENG		DOR			East Dorset District Council	http://www.dorsetforyou.com			19UD
DOR-UJ	ENG		DOR			Weymouth and Portland Borough Council	http://www.dorsetforyou.com			19UJ
DOR-UE	ENG		DOR			North Dorset District Council	http://www.dorsetforyou.com			19UE
DOR-UC	ENG		DOR			Christchurch Borough Council	http://www.dorsetforyou.com			19UC
ESS-UK	ENG		ESS			Maldon District Council	http://www.maldon.gov.uk			22UK
ESS-UE	ENG		ESS			Castle Point Borough Council	http://www.castlepoint.gov.uk			22UE
ESS-UC	ENG		ESS			Braintree District Council	http://www.braintree.gov.uk			22UC
ESS-UJ	ENG		ESS			Harlow Council	http://www.harlow.gov.uk			22UJ
ESS-UQ	ENG		ESS			Uttlesford District Council	http://www.uttlesford.gov.uk			22UQ
ESS-UL	ENG		ESS			Rochford District Council	http://www.rochford.gov.uk			22UL
ESS	ENG	CTY	ESS	Essex		Essex County Council	http://www.essex.gov.uk/Pages/Default.aspx			22
ESS-UF	ENG		ESS			Chelmsford City Council	http://www.chelmsford.gov.uk			22UF
ESS-UG	ENG		ESS			Colchester Borough Council	http://www.colchester.gov.uk			22UG
ESS-UN	ENG		ESS			Tendring District Council	http://www.tendringdc.gov.uk			22UN
BEN	ENG	LBO	ESS	Brent		Brentwood Borough Council	http://www.brentwood.gov.uk			22UD
ESS-UH	ENG		ESS			Epping Forest District Council	http://www.eppingforestdc.gov.uk			22UH
ESS-UB	ENG		ESS			Basildon Borough Council	http://www.basildon.gov.uk			22UB
ESX	ENG	CTY	ESX	East Sussex		East Sussex County Council	http://www.eastsussex.gov.uk			21
ESX-UG	ENG		ESX			Rother District Council	http://www.rother.gov.uk			21UG
ESX-UD	ENG		ESX			Hastings Borough Council	http://www.hastings.gov.uk			21UD
ESX-UH	ENG		ESX			Wealden District Council	http://www.wealden.gov.uk			21UH
ESX-UC	ENG		ESX			Eastbourne Borough Council	http://www.eastbourne.gov.uk			21UC
ESX-UF	ENG		ESX			Lewes District Council	http://www.lewes.gov.uk			21UF
STN	ENG	LBO	GLA	Sutton		London Borough of Sutton	http://www.sutton.gov.uk			00BF
WSM	ENG	LBO	GLA	Westminster		City of Westminster	http://www.westminster.gov.uk			00BK
BDG	ENG	LBO	GLA	Barking and Dagenham		London Borough of Barking and Dagenham	https://www.lbbd.gov.uk			00AB
EAL	ENG	LBO	GLA	Ealing		London Borough of Ealing	http://www.ealing.gov.uk			00AJ
ENF	ENG	LBO	GLA	Enfield		London Borough of Enfield	http://www.enfield.gov.uk			00AK
WND	ENG	LBO	GLA	Wandsworth		London Borough of Wandsworth	http://www.wandsworth.gov.uk			00BJ
HIL	ENG	LBO	GLA	Hillingdon		London Borough of Hillingdon	http://www.hillingdon.gov.uk			00AS
RIC	ENG	LBO	GLA	Richmond upon Thames		London Borough of Richmond upon Thames	http://www.richmond.gov.uk			00BD
LEW	ENG	LBO	GLA	Lewisham		London Borough of Lewisham	http://www.lewisham.gov.uk			00AZ
MRT	ENG	LBO	GLA	Merton		London Borough of Merton	http://www.merton.gov.uk			00BA
BRY	ENG	LBO	GLA	Bromley		London Borough of Bromley	http://www.bromley.gov.uk			00AF
WFT	ENG	LBO	GLA	Waltham Forest		London Borough of Waltham Forest	http://www.walthamforest.gov.uk/pages/index.aspx			00BH
HNS	ENG	LBO	GLA	Hounslow		London Borough of Hounslow	http://www.hounslow.gov.uk			00AT
ISL	ENG	LBO	GLA	Islington		London Borough of Islington	http://www.islington.gov.uk/Pages/default.aspx			00AU
LBH	ENG	LBO	GLA	Lambeth		London Borough of Lambeth	http://www.lambeth.gov.uk			00AY
CRY	ENG	LBO	GLA	Croydon		London Borough of Croydon	http://www.croydon.gov.uk			00AH
TWH	ENG	LBO	GLA	Tower Hamlets		London Borough of Tower Hamlets	http://www.towerhamlets.gov.uk			00BG
HRW	ENG	LBO	GLA	Harrow		London Borough of Harrow	http://www.harrow.gov.uk			00AQ
HRY	ENG	LBO	GLA	Haringey		London Borough of Haringey	http://www.haringey.gov.uk			00AP
GRE	ENG	LBO	GLA	Greenwich		Royal Borough of Greenwich	http://www.royalgreenwich.gov.uk			00AL
NWM	ENG	LBO	GLA	Newham		London Borough of Newham	http://www.newham.gov.uk			00BB
KEC	ENG	LBO	GLA	Kensington and Chelsea		Royal Borough of Kensington and Chelsea	http://www.rbkc.gov.uk			00AW
RDB	ENG	LBO	GLA	Redbridge		London Borough of Redbridge	http://www.redbridge.gov.uk			00BC
BNE	ENG	LBO	GLA	Barnet		London Borough of Barnet	http://www.barnet.gov.uk			00AC
HCK	ENG	LBO	GLA	Hackney		London Borough of Hackney	http://www.hackney.gov.uk			00AM
BEX	ENG	LBO	GLA	Bexley		London Borough of Bexley	http://www.bexley.gov.uk			00AD
HAV	ENG	LBO	GLA	Havering		London Borough of Havering	http://www.havering.gov.uk/Pages/index.aspx			00AR
KTT	ENG	LBO	GLA	Kingston upon Thames		Royal Borough of Kingston upon Thames	http://www.kingston.gov.uk			00AX
SWK	ENG	LBO	GLA	Southwark		London Borough of Southwark	http://www.southwark.gov.uk			00BE
HMF	ENG	LBO	GLA	Hammersmith and Fulham		London Borough of Hammersmith & Fulham	http://www.lbhf.gov.uk			00AN
CMD	ENG	LBO	GLA	Camden		London Borough of Camden	http://www.camden.gov.uk			00AG
GLS-UB	ENG		GLS			Cheltenham Borough Council	http://www.cheltenham.gov.uk			23UB
GLS-UF	ENG		GLS			Stroud District Council	http://www.stroud.gov.uk			23UF
GLS-UG	ENG		GLS			Tewkesbury Borough Council	http://tewkesbury.gov.uk			23UG
GLS-UD	ENG		GLS			Forest of Dean District Council	http://www.fdean.gov.uk			23UD
GLS-UC	ENG		GLS			Cotswold District Council	http://www.cotswold.gov.uk			23UC
GLS	ENG	CTY	GLS	Gloucestershire		Gloucestershire County Council	http://www.gloucestershire.gov.uk			23
GLS-UE	ENG		GLS			Gloucester City Council	http://www.gloucester.gov.uk			23UE
HAM-UG	ENG		HAM			Hart District Council	http://www.hart.gov.uk			24UG
HAM-UC	ENG		HAM			East Hampshire District Council	http://www.easthants.gov.uk			24UC
HAM-UE	ENG		HAM			Fareham Borough Council	http://www.fareham.gov.uk			24UE
HAM-UN	ENG		HAM			Test Valley Borough Council	http://www.testvalley.gov.uk			24UN
HAM-UB	ENG		HAM			Basingstoke and Deane Borough Council	http://www.basingstoke.gov.uk			24UB
HAM-UD	ENG		HAM			Eastleigh Borough Council	http://www.eastleigh.gov.uk			24UD
HAM-UL	ENG		HAM			Rushmoor Borough Council	http://www.rushmoor.gov.uk			24UL
HAM	ENG	CTY	HAM	Hampshire		Hampshire County Council	http://www.hants.gov.uk			24
HAM-UP	ENG		HAM			Winchester City Council	http://www.winchester.gov.uk			24UP
HAM-UH	ENG		HAM			Havant Borough Council	http://www.havant.gov.uk			24UH
HAM-UJ	ENG		HAM			New Forest District Council	http://www.newforest.gov.uk			24UJ
HAM-UF	ENG		HAM			Gosport Borough Council	http://www.gosport.gov.uk			24UF
HRT-UK	ENG		HRT			Watford Borough Council	http://www.watford.gov.uk			26UK
HRT-UC	ENG		HRT			Dacorum Borough Council	http://www.dacorum.gov.uk			26UC
HRT-UL	ENG		HRT			Welwyn Hatfield Council	http://www.welhat.gov.uk			26UL
HRT	ENG	CTY	HRT	Hertfordshire		Hertfordshire County Council	http://www.hertsdirect.org			26
