snac	local-authority-type	official-name	website	start-date	end-date
36UC		Hambleton District Council	http://www.hambleton.gov.uk		
00EC		Middlesbrough Borough Council	http://www.middlesbrough.gov.uk		
42UF		St Edmundsbury Borough Council	http://www.westsuffolk.gov.uk		
00HB		Bristol City Council	http://www.bristol.gov.uk		
00AX		Royal Borough of Kingston upon Thames	http://www.kingston.gov.uk		
41UE		Newcastle-under-Lyme District Council	http://www.newcastle-staffs.gov.uk		
00HP		Borough of Poole	http://www.poole.gov.uk		
00KC		Central Bedfordshire Council	http://www.centralbedfordshire.gov.uk		
00EW		Cheshire West and Chester Council	http://www.cheshirewestandchester.gov.uk		
00QB		Aberdeenshire Council	http://www.aberdeenshire.gov.uk		
00QA		Aberdeen City Council	http://www.aberdeencity.gov.uk		
00NA		Isle of Anglesey County Council	http://www.anglesey.gov.uk		
00QC		Angus Council	http://www.angus.gov.uk		
95T		Antrim Borough Council	http://www.antrim.gov.uk		2015-03-31
95X		Ards Borough Council	http://www.ards-council.gov.uk		
95O		Armagh City and District Council	http://www.armagh.gov.uk		
00QD		Argyll and Bute Council	http://www.argyll-bute.gov.uk		
95G		Ballymena Borough Council	http://www.ballymena.gov.uk		2015-03-31
95D		Ballymoney Borough Council	http://www.ballymoney.gov.uk		
95Q		Banbridge District Council	http://www.banbridge.com		2015-03-31
95Z		Belfast City Council	http://www.belfastcity.gov.uk		
00PB		Bridgend County Borough Council	http://www.bridgend.gov.uk		
00PK		Caerphilly County Borough Council	http://www.caerphilly.gov.uk		
95V		Carrickfergus Borough Council	http://www.carrickfergus.org		2015-03-31
00PT		City of Cardiff Council	http://www.cardiff.gov.uk		
00NU		Carmarthenshire County Council	http://www.carmarthenshire.gov.uk		
95Y		Castlereagh Borough Council	http://www.castlereagh.gov.uk		
00NQ		Ceredigion County Council	http://www.ceredigion.gov.uk		
00QF		Clackmannanshire Council	http://www.clacksweb.org.uk		
95C		Coleraine Borough Council	http://www.colerainebc.gov.uk		
00NE		Conwy County Borough Council	http://www.conwy.gov.uk		
95I		Cookstown District Council	http://www.cookstown.gov.uk		
95N		Craigavon Borough Council	http://www.craigavon.gov.uk		2015-03-31
00NG		Denbighshire County Council	http://www.denbighshire.gov.uk		
95A		Derry City Council	http://www.derrycity.gov.uk		
95R		Down District Council	http://www.downdc.gov.uk		2015-03-31
00QH		Dumfries and Galloway Council	http://www.dumgal.gov.uk		
00QJ		Dundee City Council	http://www.dundeecity.gov.uk		
95M		Dungannon and South Tyrone Borough Council	http://www.dungannon.gov.uk		
00QK		East Ayrshire Council	http://www.east-ayrshire.gov.uk		
00QL		East Dunbartonshire Council	http://www.eastdunbarton.gov.uk		
00QM		East Lothian Council	http://www.eastlothian.gov.uk		
00QN		East Renfrewshire Council	http://www.eastrenfrewshire.gov.uk		
00QP		City of Edinburgh Council	http://www.edinburgh.gov.uk		
00QQ		Falkirk Council	http://www.falkirk.gov.uk		
95L		Fermanagh District Council	http://www.fermanagh.gov.uk		
00QR		Fife Council	http://www.fifedirect.org.uk		
00NJ		Flintshire County Council	http://www.flintshire.gov.uk		
00QS		Glasgow City Council	http://www.glasgow.gov.uk		
00NC		Gwynedd Council	http://www.gwynedd.gov.uk		
00QT		The Highland Council	http://www.highland.gov.uk		
00QU		Inverclyde Council	http://www.inverclyde.gov.uk		
95F		Larne Borough Council	http://www.larne.gov.uk		2015-03-31
95B		Limavady Borough Council	http://www.limavady.gov.uk		
95S		Lisburn City Council	http://www.lisburncity.gov.uk		2015-03-31
95H		Magherafelt District Council	http://www.magherafelt.gov.uk		
00PH		Merthyr Tydfil County Borough Council	http://www.merthyr.gov.uk		
00QW		Midlothian Council	http://www.midlothian.gov.uk		
00PP		Monmouthshire County Council	http://www.monmouthshire.gov.uk		
00QX		Moray Council	http://www.moray.gov.uk		
95E		Moyle District Council	http://www.moyle-council.org		
00NZ		Neath Port Talbot County Borough Council	http://www.neath-porttalbot.gov.uk		
00PR		Newport City Council	http://www.newport.gov.uk		
00QY		North Ayrshire Council	http://www.north-ayrshire.gov.uk		
95W		North Down Borough Council	http://www.northdown.gov.uk		
95K		Omagh District Council	http://www.omagh.gov.uk		
00RA		Orkney Islands Council	http://www.orkney.gov.uk		
00NS		Pembrokeshire County Council	http://www.pembrokeshire.gov.uk		
00RB		Perth and Kinross Council	http://www.pkc.gov.uk		
00NN		Powys County Council	http://www.powys.gov.uk		
00RC		Renfrewshire Council	http://www.renfrewshire.gov.uk		
00PF		Rhondda Cynon Taf County Borough Council	http://www.rctcbc.gov.uk		
00RD		Shetland Islands Council	http://www.shetland.gov.uk		
00RE		South Ayrshire Council	http://www.south-ayrshire.gov.uk		
00RF		South Lanarkshire Council	http://www.southlanarkshire.gov.uk		
00RG		Stirling Council	http://www.stirling.gov.uk		
95J		Strabane District Council	http://www.strabanedc.org.uk		
00PM		Torfaen County Borough Council	http://www.torfaen.gov.uk		
00PD		Vale of Glamorgan Council	http://www.valeofglamorgan.gov.uk		
00RJ		Comhairle nan Eilean Siar	http://www.cne-siar.gov.uk		
00QG		West Dunbartonshire Council	http://www.west-dunbarton.gov.uk		
00RH		West Lothian Council	http://www.westlothian.gov.uk		
00NL		Wrexham County Borough Council	http://www.wrexham.gov.uk		
00QZ		North Lanarkshire Council	http://www.northlanarkshire.gov.uk		
00QE		Scottish Borders Council	http://www.scotborders.gov.uk		
00PL		Blaenau Gwent County Borough Council	http://www.blaenau-gwent.gov.uk		
00NX		City and County of Swansea Council	http://www.swansea.gov.uk		
95U		Newtownabbey Borough Council	http://www.newtownabbey.gov.uk		
95P		Newry and Mourne District Council	http://www.newryandmournedc.gov.uk		2015-03-31
