NAME,AREA_CODE,DESCRIPTIO,FILE_NAME,NUMBER,NUMBER0,POLYGON_ID,UNIT_ID,CODE,HECTARES,AREA,TYPE_CODE,DESCRIPT0,TYPE_COD0,DESCRIPT1
Blaby District,DIS,District,LEICESTERSHIRE_COUNTY,18,761,58216,23585,E07000129,13046.876,0.000,AA,CIVIL ADMINISTRATION AREA,,
Charnwood District (B),DIS,District,LEICESTERSHIRE_COUNTY,27,830,58081,23452,E07000130,27904.229,0.000,AA,CIVIL ADMINISTRATION AREA,,
Oadby and Wigston District (B),DIS,District,LEICESTERSHIRE_COUNTY,69,850,58042,23413,E07000135,2352.607,0.000,AA,CIVIL ADMINISTRATION AREA,,
West Lindsey District,DIS,District,LINCOLNSHIRE_COUNTY,6,904,46484,43527,E07000142,115765.221,192.014,AA,CIVIL ADMINISTRATION AREA,,
South Kesteven District,DIS,District,LINCOLNSHIRE_COUNTY,11,1020,46463,5557,E07000141,94258.573,0.000,AA,CIVIL ADMINISTRATION AREA,,
South Holland District,DIS,District,LINCOLNSHIRE_COUNTY,18,1065,46415,5599,E07000140,81550.359,6459.154,AA,CIVIL ADMINISTRATION AREA,,
Boston District (B),DIS,District,LINCOLNSHIRE_COUNTY,22,1101,45848,5306,E07000136,39779.284,3290.284,AA,CIVIL ADMINISTRATION AREA,,
North Kesteven District,DIS,District,LINCOLNSHIRE_COUNTY,27,1207,46448,5542,E07000139,92247.132,0.000,AA,CIVIL ADMINISTRATION AREA,,
East Lindsey District,DIS,District,LINCOLNSHIRE_COUNTY,33,1434,45859,5317,E07000137,183107.284,6606.824,AA,CIVIL ADMINISTRATION AREA,,
Lincoln District (B),DIS,District,LINCOLNSHIRE_COUNTY,111,1467,46264,5716,E07000138,3569.019,0.000,AA,CIVIL ADMINISTRATION AREA,,
Great Yarmouth District (B),DIS,District,NORFOLK_COUNTY,7,1018,47592,6392,E07000145,18247.202,800.133,AA,CIVIL ADMINISTRATION AREA,,
South Norfolk District,DIS,District,NORFOLK_COUNTY,8,1174,47297,6724,E07000149,90890.662,120.144,AA,CIVIL ADMINISTRATION AREA,,
King's Lynn and West Norfolk District (B),DIS,District,NORFOLK_COUNTY,14,1324,47869,7016,E07000146,152759.861,8924.667,AA,CIVIL ADMINISTRATION AREA,,
Breckland District,DIS,District,NORFOLK_COUNTY,21,1469,47905,6917,E07000143,130511.665,0.000,AA,CIVIL ADMINISTRATION AREA,,
Norwich District (B),DIS,District,NORFOLK_COUNTY,106,1600,47246,6759,E07000148,4055.412,153.063,AA,CIVIL ADMINISTRATION AREA,,
South Northamptonshire District,DIS,District,NORTHAMPTONSHIRE_COUNTY,11,587,123795,7306,E07000155,63402.325,0.000,AA,CIVIL ADMINISTRATION AREA,,
East Northamptonshire District,DIS,District,NORTHAMPTONSHIRE_COUNTY,17,670,48599,7301,E07000152,50978.721,0.000,AA,CIVIL ADMINISTRATION AREA,,
Daventry District,DIS,District,NORTHAMPTONSHIRE_COUNTY,20,762,123794,7451,E07000151,66560.051,0.000,AA,CIVIL ADMINISTRATION AREA,,
Wellingborough District (B),DIS,District,NORTHAMPTONSHIRE_COUNTY,21,798,48654,7356,E07000156,16303.655,0.000,AA,CIVIL ADMINISTRATION AREA,,
Kettering District (B),DIS,District,NORTHAMPTONSHIRE_COUNTY,25,846,124234,7408,E07000153,23348.993,0.000,AA,CIVIL ADMINISTRATION AREA,,
Northampton District (B),DIS,District,NORTHAMPTONSHIRE_COUNTY,51,895,48415,7473,E07000154,8077.189,0.000,AA,CIVIL ADMINISTRATION AREA,,
Corby District (B),DIS,District,NORTHAMPTONSHIRE_COUNTY,94,924,48585,7288,E07000150,8028.095,0.000,AA,CIVIL ADMINISTRATION AREA,,
Scarborough District (B),DIS,District,NORTH_YORKSHIRE_COUNTY,1,1037,60127,21355,E07000168,82625.345,976.648,AA,CIVIL ADMINISTRATION AREA,,
Selby District,DIS,District,NORTH_YORKSHIRE_COUNTY,2,1131,59823,21055,E07000169,60222.309,291.232,AA,CIVIL ADMINISTRATION AREA,,
Craven District,DIS,District,NORTH_YORKSHIRE_COUNTY,3,1221,60470,21698,E07000163,117880.738,0.000,AA,CIVIL ADMINISTRATION AREA,,
Richmondshire District,DIS,District,NORTH_YORKSHIRE_COUNTY,11,1351,60760,21986,E07000166,131870.729,0.000,AA,CIVIL ADMINISTRATION AREA,,
Harrogate District (B),DIS,District,NORTH_YORKSHIRE_COUNTY,13,1528,60262,21490,E07000165,130912.749,0.000,AA,CIVIL ADMINISTRATION AREA,,
Ryedale District,DIS,District,NORTH_YORKSHIRE_COUNTY,15,1664,60062,21291,E07000167,150659.381,0.000,AA,CIVIL ADMINISTRATION AREA,,
Hambleton District,DIS,District,NORTH_YORKSHIRE_COUNTY,18,1861,60254,21482,E07000164,131122.818,0.000,AA,CIVIL ADMINISTRATION AREA,,
Bassetlaw District,DIS,District,NOTTINGHAMSHIRE_COUNTY,2,561,48857,8122,E07000171,63949.282,168.898,AA,CIVIL ADMINISTRATION AREA,,
Rushcliffe District (B),DIS,District,NOTTINGHAMSHIRE_COUNTY,4,648,124210,7731,E07000176,40923.148,0.000,AA,CIVIL ADMINISTRATION AREA,,
Gedling District (B),DIS,District,NOTTINGHAMSHIRE_COUNTY,5,680,49007,7914,E07000173,11998.161,0.000,AA,CIVIL ADMINISTRATION AREA,,
