iso-code	bs-6879	name	category	parent
GB-ELS	ELS	Eilean Siar	council area	SCT
GB-FAL	FAL	Falkirk	council area	SCT
GB-FIF	FIF	Fife	council area	SCT
GB-GLG	GLG	Glasgow City	council area	SCT
GB-HLD	HLD	Highland	council area	SCT
GB-IVC	IVC	Inverclyde	council area	SCT
GB-MLN	MLN	Midlothian	council area	SCT
GB-MRY	MRY	Moray	council area	SCT
GB-NAY	NAY	North Ayrshire	council area	SCT
GB-NLK	NLK	North Lanarkshire	council area	SCT
GB-ORK	ORK	Orkney Islands	council area	SCT
GB-PKN	PKN	Perth and Kinross	council area	SCT
GB-RFW	RFW	Renfrewshire	council area	SCT
GB-SCB	SCB	Scottish Borders, The	council area	SCT
GB-ZET	ZET	Shetland Islands	council area	SCT
GB-SAY	SAY	South Ayrshire	council area	SCT
GB-SLK	SLK	South Lanarkshire	council area	SCT
GB-STG	STG	Stirling	council area	SCT
GB-WDU	WDU	West Dunbartonshire	council area	SCT
GB-WLN	WLN	West Lothian	council area	SCT
GB-BGW	BGW	Blaenau Gwent	unitary authority	WLS
GB-BGE	BGE	Bridgend [Pen-y-bont ar Ogwr GB-POG]	unitary authority	WLS
GB-CAY	CAY	Caerphilly [Caerffili GB-CAF]	unitary authority	WLS
GB-CRF	CRF	Cardiff [Caerdydd GB-CRD]	unitary authority	WLS
GB-CMN	CMN	Carmarthenshire [Sir Gaerfyrddin GB-GFY]	unitary authority	WLS
GB-CGN	CGN	Ceredigion [Sir Ceredigion]	unitary authority	WLS
GB-CWY	CWY	Conwy	unitary authority	WLS
GB-DEN	DEN	Denbighshire [Sir Ddinbych GB-DDB]	unitary authority	WLS
GB-FLN	FLN	Flintshire [Sir y Fflint GB-FFL]	unitary authority	WLS
GB-GWN	GWN	Gwynedd	unitary authority	WLS
GB-AGY	AGY	Isle of Anglesey [Sir Ynys Môn GB-YNM]	unitary authority	WLS
GB-MTY	MTY	Merthyr Tydfil [Merthyr Tudful GB-MTU]	unitary authority	WLS
GB-MON	MON	Monmouthshire [Sir Fynwy GB-FYN]	unitary authority	WLS
GB-NTL	NTL	Neath Port Talbot [Castell-nedd Port Talbot GB-CTL]	unitary authority	WLS
GB-NWP	NWP	Newport [Casnewydd GB-CNW]	unitary authority	WLS
GB-PEM	PEM	Pembrokeshire [Sir Benfro GB-BNF]	unitary authority	WLS
GB-POW	POW	Powys	unitary authority	WLS
GB-RCT	RCT	Rhondda, Cynon, Taff [Rhondda, Cynon, Taf]	unitary authority	WLS
GB-SWA	SWA	Swansea [Abertawe GB-ATA]	unitary authority	WLS
GB-TOF	TOF	Torfaen [Tor-faen]	unitary authority	WLS
GB-VGL	VGL	Vale of Glamorgan, The [Bro Morgannwg GB-BMG]	unitary authority	WLS
GB-WRX	WRX	Wrexham [Wrecsam GB-WRC]	unitary authority	WLS
